Document_name 	 Actual Class 	 Predicted Class
----------------------------------------------------------
60416	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60418	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60419	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
103893	rec.motorcycles	rec.motorcycles
51267	alt.atheism	alt.atheism
51266	alt.atheism	alt.atheism
51260	alt.atheism	alt.atheism
61179	sci.space	sci.space
61171	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
102819	rec.autos	rec.autos
75949	misc.forsale	misc.forsale
75940	misc.forsale	misc.forsale
75941	misc.forsale	misc.forsale
75942	misc.forsale	misc.forsale
75944	misc.forsale	misc.forsale
75946	misc.forsale	misc.forsale
75947	misc.forsale	misc.forsale
59341	sci.med	sci.med
51843	comp.sys.mac.hardware	comp.sys.mac.hardware
51847	comp.sys.mac.hardware	comp.sys.mac.hardware
51846	comp.sys.mac.hardware	comp.sys.mac.hardware
51844	comp.sys.mac.hardware	comp.sys.mac.hardware
51849	comp.sys.mac.hardware	comp.sys.ibm.pc.hardware
51848	comp.sys.mac.hardware	comp.sys.mac.hardware
105003	rec.sport.baseball	rec.sport.baseball
105000	rec.motorcycles	rec.motorcycles
105001	rec.motorcycles	rec.motorcycles
103699	rec.autos	rec.autos
105007	rec.sport.baseball	talk.politics.misc
104715	rec.motorcycles	rec.autos
104714	rec.motorcycles	rec.motorcycles
104716	rec.motorcycles	rec.motorcycles
104711	rec.motorcycles	rec.motorcycles
104710	rec.motorcycles	rec.motorcycles
104713	rec.motorcycles	rec.motorcycles
53733	rec.sport.hockey	rec.sport.hockey
105990	rec.sport.baseball	rec.sport.baseball
53730	rec.sport.hockey	rec.sport.hockey
104719	rec.motorcycles	rec.motorcycles
104718	rec.motorcycles	rec.motorcycles
9522	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9523	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
21619	soc.religion.christian	soc.religion.christian
15957	sci.crypt	sci.crypt
21615	soc.religion.christian	soc.religion.christian
21617	soc.religion.christian	soc.religion.christian
21616	soc.religion.christian	soc.religion.christian
21613	soc.religion.christian	soc.religion.christian
84122	talk.religion.misc	talk.religion.misc
84120	talk.religion.misc	talk.religion.misc
84126	talk.religion.misc	talk.religion.misc
84127	talk.religion.misc	talk.religion.misc
20803	soc.religion.christian	soc.religion.christian
84128	talk.religion.misc	talk.religion.misc
84129	talk.religion.misc	talk.religion.misc
20801	soc.religion.christian	soc.religion.christian
58079	sci.med	sci.med
58075	sci.med	sci.med
58074	sci.med	sci.med
58077	sci.med	sci.med
58076	sci.med	sci.med
58071	sci.med	sci.med
38502	comp.graphics	comp.graphics
38500	comp.graphics	comp.graphics
38506	comp.graphics	comp.windows.x
38505	comp.graphics	comp.graphics
68173	comp.windows.x	comp.windows.x
68172	comp.windows.x	comp.windows.x
68171	comp.windows.x	comp.windows.x
38645	comp.graphics	comp.graphics
38646	comp.graphics	comp.graphics
38647	comp.graphics	comp.graphics
104849	rec.motorcycles	rec.motorcycles
104845	rec.motorcycles	rec.motorcycles
83479	talk.religion.misc	alt.atheism
102719	rec.sport.baseball	rec.sport.baseball
102718	rec.sport.baseball	rec.sport.baseball
102717	rec.autos	rec.autos
102716	rec.sport.baseball	rec.sport.baseball
102714	rec.sport.baseball	rec.sport.baseball
102711	rec.sport.baseball	rec.sport.baseball
102710	rec.sport.baseball	rec.sport.baseball
54170	rec.sport.hockey	rec.sport.hockey
54171	rec.sport.hockey	rec.sport.hockey
54173	rec.sport.hockey	rec.sport.baseball
54174	talk.politics.guns	talk.politics.guns
54176	alt.atheism	alt.atheism
54177	rec.sport.hockey	rec.sport.hockey
54178	talk.politics.guns	talk.politics.guns
54179	alt.atheism	alt.atheism
21479	soc.religion.christian	soc.religion.christian
83769	talk.religion.misc	talk.politics.misc
21731	soc.religion.christian	soc.religion.christian
83619	talk.religion.misc	alt.atheism
67108	comp.windows.x	comp.windows.x
21478	soc.religion.christian	soc.religion.christian
67103	comp.windows.x	comp.windows.x
83610	talk.religion.misc	talk.religion.misc
83613	talk.religion.misc	alt.atheism
83615	talk.religion.misc	talk.religion.misc
67105	comp.windows.x	comp.windows.x
83616	talk.religion.misc	talk.religion.misc
76089	misc.forsale	misc.forsale
59265	sci.med	sci.med
76084	misc.forsale	misc.forsale
76080	misc.forsale	misc.forsale
76082	misc.forsale	misc.forsale
76083	misc.forsale	misc.forsale
59038	sci.med	sci.med
59039	sci.med	sci.med
59032	sci.med	rec.autos
59030	sci.med	sci.med
59031	sci.med	sci.med
59036	sci.med	sci.med
59035	sci.med	sci.med
178451	talk.politics.misc	talk.politics.misc
178450	talk.politics.misc	talk.politics.misc
178457	talk.politics.misc	talk.politics.misc
178456	talk.politics.misc	talk.politics.misc
178458	talk.politics.misc	talk.politics.misc
38590	comp.graphics	comp.graphics
76880	misc.forsale	misc.forsale
76881	misc.forsale	sci.electronics
76882	misc.forsale	misc.forsale
77330	talk.politics.mideast	talk.politics.mideast
59263	sci.med	sci.med
77332	talk.politics.mideast	talk.politics.mideast
15285	sci.crypt	sci.crypt
67437	comp.windows.x	comp.windows.x
15287	sci.crypt	sci.crypt
15281	sci.crypt	sci.crypt
15283	sci.crypt	sci.crypt
15282	sci.crypt	sci.crypt
52811	sci.electronics	sci.electronics
52813	sci.electronics	sci.electronics
52815	sci.electronics	rec.autos
52814	sci.electronics	sci.electronics
52819	sci.electronics	sci.electronics
60902	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60903	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60900	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60901	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60905	comp.sys.ibm.pc.hardware	comp.graphics
77281	talk.politics.mideast	talk.politics.mideast
77280	talk.politics.mideast	talk.politics.mideast
77284	talk.politics.mideast	talk.politics.mideast
77287	talk.politics.mideast	talk.politics.mideast
15551	sci.crypt	sci.crypt
15550	sci.crypt	sci.crypt
61236	sci.space	sci.space
61235	sci.space	sci.space
61234	sci.space	sci.space
61238	sci.space	sci.space
16064	sci.crypt	sci.crypt
16066	sci.crypt	sci.crypt
16067	sci.crypt	sci.crypt
16061	sci.crypt	sci.crypt
16062	sci.crypt	sci.crypt
60659	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
16068	sci.crypt	sci.crypt
16069	sci.crypt	comp.windows.x
83662	talk.religion.misc	talk.religion.misc
39645	comp.graphics	comp.graphics
53675	rec.sport.hockey	rec.sport.hockey
53672	rec.sport.hockey	rec.sport.baseball
52103	comp.sys.mac.hardware	comp.sys.mac.hardware
52102	comp.sys.mac.hardware	comp.sys.ibm.pc.hardware
52101	comp.sys.mac.hardware	comp.sys.mac.hardware
52100	comp.sys.mac.hardware	comp.sys.mac.hardware
20883	soc.religion.christian	soc.religion.christian
39641	comp.graphics	comp.graphics
52105	comp.sys.mac.hardware	comp.sys.mac.hardware
20736	soc.religion.christian	soc.religion.christian
52109	comp.sys.mac.hardware	comp.sys.ibm.pc.hardware
52108	comp.sys.mac.hardware	comp.sys.mac.hardware
20889	soc.religion.christian	soc.religion.christian
20888	soc.religion.christian	soc.religion.christian
102940	rec.autos	rec.autos
102941	rec.autos	rec.autos
102947	rec.autos	rec.autos
102944	rec.autos	rec.autos
102949	rec.autos	rec.autos
67443	comp.windows.x	comp.windows.x
20792	soc.religion.christian	soc.religion.christian
83863	talk.religion.misc	talk.religion.misc
83861	talk.religion.misc	alt.atheism
83866	talk.religion.misc	talk.politics.guns
83864	talk.religion.misc	talk.religion.misc
54414	talk.politics.guns	talk.politics.guns
54413	talk.politics.guns	talk.politics.misc
54412	talk.politics.guns	talk.politics.guns
54410	talk.politics.guns	talk.politics.guns
59629	sci.med	sci.med
15879	sci.crypt	sci.crypt
15876	sci.crypt	sci.crypt
15701	sci.crypt	sci.crypt
15702	sci.crypt	sci.crypt
15875	sci.crypt	sci.crypt
15870	sci.crypt	sci.crypt
9756	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9755	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9753	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9752	comp.os.ms-windows.misc	comp.windows.x
53505	alt.atheism	alt.atheism
53507	alt.atheism	talk.religion.misc
53500	alt.atheism	alt.atheism
53501	alt.atheism	alt.atheism
53502	alt.atheism	alt.atheism
9758	comp.os.ms-windows.misc	comp.os.ms-windows.misc
53584	rec.sport.hockey	rec.sport.hockey
21424	soc.religion.christian	soc.religion.christian
21420	soc.religion.christian	soc.religion.christian
21421	soc.religion.christian	soc.religion.christian
53586	rec.sport.hockey	rec.sport.hockey
21428	soc.religion.christian	soc.religion.christian
102674	rec.sport.baseball	rec.sport.baseball
59489	sci.med	sci.med
59488	sci.med	sci.med
59483	sci.med	sci.med
59482	sci.med	sci.med
59481	sci.med	sci.med
58937	sci.med	sci.med
59487	sci.med	sci.med
58938	sci.med	sci.med
54904	talk.politics.guns	talk.politics.guns
54272	rec.sport.hockey	rec.sport.hockey
58898	sci.med	sci.med
54725	rec.sport.hockey	talk.politics.misc
67379	comp.windows.x	comp.windows.x
54724	rec.sport.hockey	rec.sport.hockey
67374	comp.windows.x	comp.windows.x
67375	comp.windows.x	comp.windows.x
67376	comp.windows.x	comp.graphics
67372	comp.windows.x	comp.windows.x
54726	rec.sport.hockey	rec.sport.hockey
178860	talk.politics.misc	talk.politics.misc
178862	talk.politics.misc	talk.politics.misc
178863	talk.politics.misc	talk.politics.misc
178864	talk.politics.misc	talk.religion.misc
178865	talk.politics.misc	talk.politics.misc
178866	talk.politics.misc	talk.politics.misc
178867	talk.politics.misc	talk.politics.misc
76169	misc.forsale	sci.crypt
76168	misc.forsale	misc.forsale
76167	misc.forsale	misc.forsale
76160	misc.forsale	misc.forsale
178717	talk.politics.misc	talk.politics.misc
178714	talk.politics.misc	talk.politics.misc
178712	talk.politics.misc	talk.politics.misc
178713	talk.politics.misc	sci.crypt
178710	talk.politics.misc	talk.politics.misc
178718	talk.politics.misc	talk.politics.misc
66979	comp.windows.x	comp.windows.x
66978	comp.windows.x	comp.windows.x
66975	comp.windows.x	comp.windows.x
66976	comp.windows.x	comp.windows.x
66971	comp.windows.x	comp.windows.x
66970	comp.windows.x	comp.windows.x
66973	comp.windows.x	comp.windows.x
103707	rec.autos	rec.autos
103705	rec.autos	rec.autos
38364	comp.graphics	rec.motorcycles
38363	comp.graphics	comp.graphics
55107	talk.politics.guns	talk.politics.guns
38361	comp.graphics	comp.graphics
103700	rec.autos	rec.autos
55108	talk.politics.guns	talk.politics.guns
103709	rec.autos	rec.autos
38368	comp.graphics	comp.graphics
176957	talk.politics.misc	talk.politics.misc
52641	rec.sport.hockey	rec.sport.hockey
20746	soc.religion.christian	soc.religion.christian
53738	rec.sport.hockey	rec.sport.hockey
52644	rec.sport.hockey	rec.sport.hockey
9529	comp.os.ms-windows.misc	comp.graphics
52646	rec.sport.hockey	rec.sport.hockey
52647	rec.sport.hockey	rec.sport.hockey
50528	comp.sys.mac.hardware	comp.sys.mac.hardware
9520	comp.os.ms-windows.misc	comp.graphics
58891	sci.med	sci.med
9521	comp.os.ms-windows.misc	comp.windows.x
103330	rec.autos	rec.autos
66438	comp.windows.x	comp.windows.x
39016	comp.graphics	sci.electronics
9966	comp.os.ms-windows.misc	comp.graphics
9960	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9961	comp.os.ms-windows.misc	comp.os.ms-windows.misc
9962	comp.os.ms-windows.misc	comp.os.ms-windows.misc
39011	comp.graphics	comp.graphics
9968	comp.os.ms-windows.misc	sci.electronics
9969	comp.os.ms-windows.misc	comp.graphics
21618	soc.religion.christian	soc.religion.christian
104487	rec.motorcycles	rec.motorcycles
104486	rec.motorcycles	rec.motorcycles
104481	rec.motorcycles	rec.motorcycles
104480	rec.motorcycles	rec.motorcycles
104483	rec.motorcycles	rec.motorcycles
104489	rec.motorcycles	rec.motorcycles
103803	rec.autos	rec.autos
51823	comp.sys.mac.hardware	comp.sys.mac.hardware
51825	comp.sys.mac.hardware	comp.graphics
51826	comp.sys.mac.hardware	comp.sys.mac.hardware
105029	rec.sport.baseball	rec.sport.baseball
84556	talk.religion.misc	alt.atheism
105024	rec.sport.baseball	rec.sport.baseball
105026	rec.sport.baseball	rec.sport.baseball
105020	rec.sport.baseball	rec.sport.baseball
84555	talk.religion.misc	talk.religion.misc
105022	rec.motorcycles	rec.motorcycles
84226	talk.religion.misc	talk.religion.misc
84221	talk.religion.misc	talk.religion.misc
84552	talk.religion.misc	comp.graphics
9508	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9509	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
104738	rec.motorcycles	rec.motorcycles
104737	rec.motorcycles	rec.motorcycles
104736	rec.motorcycles	rec.motorcycles
104735	rec.motorcycles	rec.motorcycles
9501	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9507	comp.os.ms-windows.misc	comp.windows.x
104731	rec.motorcycles	soc.religion.christian
104730	rec.motorcycles	rec.motorcycles
21631	soc.religion.christian	soc.religion.christian
21630	soc.religion.christian	soc.religion.christian
21634	soc.religion.christian	soc.religion.christian
84101	talk.religion.misc	talk.religion.misc
84106	talk.religion.misc	talk.politics.misc
84107	talk.religion.misc	talk.politics.guns
68111	comp.windows.x	comp.windows.x
68113	comp.windows.x	comp.windows.x
68114	comp.windows.x	comp.windows.x
68117	comp.windows.x	comp.windows.x
58053	sci.med	comp.graphics
68118	comp.windows.x	comp.windows.x
58051	sci.med	sci.med
58057	sci.med	sci.med
58054	sci.med	sci.med
38569	comp.graphics	comp.graphics
102919	rec.autos	rec.autos
60467	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60466	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60461	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60460	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60463	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
38561	comp.graphics	comp.graphics
38560	comp.graphics	misc.forsale
38565	comp.graphics	comp.graphics
38564	comp.graphics	comp.windows.x
38566	comp.graphics	comp.graphics
53975	rec.sport.hockey	rec.sport.hockey
53750	rec.sport.hockey	rec.sport.hockey
53753	rec.sport.hockey	rec.sport.hockey
53976	rec.sport.hockey	rec.sport.baseball
53754	rec.sport.hockey	rec.sport.hockey
53973	rec.sport.hockey	rec.sport.hockey
53972	rec.sport.hockey	rec.sport.hockey
10769	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
10768	comp.os.ms-windows.misc	comp.windows.x
53979	rec.sport.hockey	rec.sport.hockey
60432	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
102881	rec.autos	rec.autos
102880	rec.autos	rec.autos
104867	rec.motorcycles	rec.motorcycles
104865	rec.motorcycles	rec.motorcycles
104864	rec.motorcycles	rec.autos
104862	rec.motorcycles	rec.motorcycles
58943	sci.med	sci.med
104860	rec.motorcycles	rec.motorcycles
58948	sci.med	sci.med
104869	rec.motorcycles	rec.motorcycles
104868	rec.motorcycles	rec.motorcycles
38623	comp.graphics	comp.graphics
38621	comp.graphics	comp.graphics
62319	sci.space	sci.space
38627	comp.graphics	comp.graphics
38625	comp.graphics	comp.windows.x
38628	comp.graphics	comp.graphics
83459	talk.religion.misc	talk.politics.misc
83453	talk.religion.misc	talk.religion.misc
102770	rec.autos	rec.autos
83451	talk.religion.misc	talk.religion.misc
83450	talk.religion.misc	talk.religion.misc
102775	rec.autos	rec.autos
83455	talk.religion.misc	talk.religion.misc
83454	talk.religion.misc	talk.religion.misc
54198	rec.sport.hockey	rec.sport.hockey
54199	rec.sport.hockey	rec.sport.hockey
54197	rec.sport.hockey	rec.sport.hockey
54194	talk.politics.guns	talk.politics.guns
54195	rec.sport.hockey	rec.sport.hockey
54192	rec.sport.hockey	rec.sport.hockey
54193	rec.sport.hockey	rec.sport.hockey
54190	alt.atheism	alt.atheism
58969	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
67161	comp.windows.x	comp.windows.x
10184	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
10187	comp.os.ms-windows.misc	comp.graphics
10186	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
10181	comp.os.ms-windows.misc	comp.graphics
10180	comp.os.ms-windows.misc	comp.windows.x
83631	talk.religion.misc	talk.religion.misc
10182	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
67169	comp.windows.x	comp.windows.x
83638	talk.religion.misc	alt.atheism
60436	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
59546	sci.med	sci.med
59011	sci.med	sci.med
59545	sci.med	sci.crypt
59543	sci.med	sci.med
59540	sci.med	sci.med
59017	sci.med	sci.med
59549	sci.med	sci.med
178479	talk.politics.misc	talk.religion.misc
178478	talk.politics.misc	talk.religion.misc
178473	talk.politics.misc	talk.politics.misc
178472	talk.politics.misc	talk.religion.misc
178470	talk.politics.misc	talk.politics.misc
178475	talk.politics.misc	talk.politics.misc
76206	talk.politics.mideast	talk.politics.mideast
76204	misc.forsale	misc.forsale
76205	misc.forsale	misc.forsale
76203	misc.forsale	misc.forsale
76200	misc.forsale	misc.forsale
76208	misc.forsale	misc.forsale
76209	misc.forsale	misc.forsale
50471	comp.sys.mac.hardware	comp.sys.mac.hardware
50473	comp.sys.mac.hardware	comp.sys.mac.hardware
50475	comp.sys.mac.hardware	comp.sys.mac.hardware
